vertex_id,latitude,longitude,elevation,elevation_normalized_m,stream_length_m,slope_perc
0,20.96060493,71.20060941,-4.210403,0,0,0
1,20.96053154,71.20055339,-5.63,-1.42,10,-14.2
2,20.96045815,71.20049737,-5.873793,-1.66,20,-2.4
3,20.96038476,71.20044135,-5.64,-1.43,30,2.3
4,20.96031137,71.20038533,-5.5,-1.29,40,1.4
5,20.96023798,71.20032931,-5.487586,-1.28,50,0.1
6,20.9601646,71.20027329,-5.7081037,-1.5,60,-2.2
7,20.96009121,71.20021727,-5.92,-1.71,70,-2.1
8,20.96001782,71.20016125,-5.75,-1.54,80,1.7
9,20.95994443,71.20010523,-6.0491624,-1.84,90,-3
10,20.95987104,71.20004921,-6.0606036,-1.85,100,-0.1
11,20.95979765,71.19999319,-6.268815,-2.06,110,-2.1
12,20.95972361,71.19993824,-6.1917644,-1.98,120,0.8
13,20.9596456,71.19988982,-5.9763217,-1.76,130,2.2
14,20.95956758,71.19984139,-6.6824155,-2.47,140,-7.1
15,20.95948957,71.19979297,-6.8200283,-2.61,150,-1.4
16,20.95941156,71.19974455,-6.5623155,-2.35,160,2.6
17,20.95933675,71.19969158,-6.492123,-2.28,170,0.7
18,20.95927129,71.19962535,-6.65,-2.44,180,-1.6
19,20.95920583,71.19955912,-6.52,-2.31,190,1.3
20,20.95914037,71.19949289,-6.5208097,-2.31,200,0
21,20.95907491,71.19942667,-6.551236,-2.34,210,-0.3
22,20.95900946,71.19936044,-6.5708947,-2.36,220,-0.2
23,20.958944,71.19929421,-6.57,-2.36,230,0
24,20.95887854,71.19922798,-6.552314,-2.34,240,0.2
25,20.95881308,71.19916175,-6.500181,-2.29,250,0.5
26,20.95874762,71.19909553,-6.5706005,-2.36,260,-0.7
27,20.95868216,71.1990293,-6.56,-2.35,270,0.1
28,20.9586167,71.19896307,-6.609553,-2.4,280,-0.5
29,20.95855124,71.19889684,-6.603633,-2.39,290,0.1
30,20.95848578,71.19883062,-6.6550784,-2.44,300,-0.5
31,20.95843645,71.1987529,-6.7304754,-2.52,310,-0.8
32,20.95840389,71.19866323,-6.61,-2.4,320,1.2
33,20.95837134,71.19857356,-6.8404474,-2.63,330,-2.3
34,20.95833878,71.19848388,-7.21919,-3.01,340,-3.8
35,20.95830623,71.19839421,-7.71,-3.5,350,-4.9
36,20.95827367,71.19830454,-7.81,-3.6,360,-1
37,20.95824112,71.19821487,-7.55047,-3.34,370,2.6
38,20.95820645,71.1981262,-7.9397907,-3.73,380,-3.9
39,20.95816505,71.19804076,-8.09021,-3.88,390,-1.5
40,20.95812365,71.19795533,-7.854922,-3.64,400,2.4
41,20.95808225,71.19786989,-7.6204753,-3.41,410,2.3
42,20.95804085,71.19778445,-7.72,-3.51,420,-1
43,20.95799945,71.19769901,-7.6011605,-3.39,430,1.2
44,20.95795805,71.19761357,-7.3312645,-3.12,440,2.7
45,20.95790837,71.19753375,-7.16,-2.95,450,1.7
46,20.9578531,71.19745772,-7.206867,-3,460,-0.5
47,20.95779784,71.19738169,-6.6344724,-2.43,470,5.7
48,20.95774257,71.19730566,-4.8174715,-0.61,480,18.2
49,20.95768731,71.19722963,-6.6631308,-2.46,490,-18.5
50,20.95763204,71.19715359,-7.02,-2.82,500,-3.6
51,20.95757678,71.19707756,-7.0468464,-2.85,510,-0.3
52,20.95752151,71.19700153,-7.055367,-2.86,520,-0.1
53,20.95746624,71.1969255,-6.360113,-2.16,530,7
54,20.95739453,71.19687252,-6.618945,-2.42,540,-2.6
55,20.95731091,71.19683623,-7.55,-3.35,550,-9.3
56,20.95722728,71.19679994,-7.56,-3.36,560,-0.1
57,20.95714366,71.19676364,-7.45,-3.25,570,1.1
58,20.95706004,71.19672735,-7.01,-2.81,580,4.4
59,20.95697642,71.19669105,-5.77,-1.57,590,12.4
60,20.9568928,71.19665476,-6.11,-1.91,600,-3.4
61,20.95680917,71.19661846,-1.8544725,2.35,610,42.6
62,20.95672555,71.19658217,-8.650161,-4.45,620,-68
63,20.95663886,71.19655762,-8.367316,-4.17,630,2.8
64,20.95654965,71.19654268,-8.369105,-4.17,640,0
65,20.95646045,71.19652773,-8.6,-4.4,650,-2.3
66,20.95637124,71.19651279,-8.51,-4.31,660,0.9
67,20.95628203,71.19649784,-8.52,-4.32,670,-0.1
68,20.95619282,71.1964829,-8.299106,-4.1,680,2.2
69,20.95610362,71.19646796,-8.89,-4.69,690,-5.9
70,20.95601441,71.19645301,-8.920895,-4.72,700,-0.3
71,20.9559252,71.19643807,-8.897316,-4.7,710,0.2
72,20.95583864,71.19641161,-9.23,-5.03,720,-3.3
73,20.95575301,71.19638108,-8.47,-4.27,730,7.6
74,20.95566738,71.19635055,-6.17,-1.97,740,23
75,20.95558175,71.19632002,-7.818211,-3.62,750,-16.5
76,20.95549612,71.19628949,-7.558211,-3.36,760,2.6
77,20.95541049,71.19625897,-7.86,-3.66,770,-3
78,20.95532486,71.19622844,-7.892844,-3.69,780,-0.3
79,20.95523923,71.19619791,-7.934472,-3.73,790,-0.4
80,20.9551536,71.19616738,-7.9373164,-3.73,800,0
81,20.95506797,71.19613685,-7.9208946,-3.71,810,0.2
82,20.95498234,71.19610632,-8.05,-3.84,820,-1.3
83,20.95489671,71.19607579,-8.11,-3.9,830,-0.6
84,20.95481058,71.1960471,-8.304026,-4.09,840,-1.9
85,20.95472283,71.19602439,-8.401341,-4.19,850,-1
86,20.95463508,71.19600169,-8.39,-4.18,860,0.1
87,20.95454733,71.19597898,-8.55,-4.34,870,-1.6
88,20.95445958,71.19595627,-8.618051,-4.41,880,-0.7
89,20.9543712,71.19594171,-8.261342,-4.05,890,3.6
90,20.95428113,71.19594871,-8.17,-3.96,900,0.9
91,20.95419107,71.19595572,-8.47,-4.26,910,-3
92,20.954101,71.19596272,-8.89,-4.68,920,-4.2
93,20.95401094,71.19596972,-8.56195,-4.35,930,3.3
94,20.95392176,71.1959815,-8.778658,-4.57,940,-2.2
95,20.95383596,71.19601149,-8.9,-4.69,950,-1.2
96,20.95375016,71.19604147,-8.97,-4.76,960,-0.7
97,20.95366436,71.19607146,-8.97,-4.76,970,0
98,20.9535795,71.19610402,-8.96,-4.75,980,0.1
99,20.95349726,71.19614371,-8.68805,-4.48,990,2.7
100,20.95341501,71.19618341,-8.52,-4.31,1000,1.7
101,20.95333276,71.1962231,-9.29,-5.08,1010,-7.7
102,20.95325052,71.1962628,-8.888659,-4.68,1020,4
103,20.95316827,71.19630249,-9.3,-5.09,1030,-4.1
104,20.95308022,71.19632198,-9.13,-4.92,1040,1.7
105,20.95299118,71.19633806,-9.116709,-4.91,1050,0.1
106,20.95290215,71.19635414,-9.38,-5.17,1060,-2.6
107,20.95281312,71.19637022,-9.27,-5.06,1070,1.1
108,20.95272409,71.19638631,-9.12,-4.91,1080,1.5
109,20.95263506,71.19640239,-9.43,-5.22,1090,-3.1
110,20.95254501,71.1964052,-9.52,-5.31,1100,-0.9
111,20.95245471,71.19640466,-9.52,-5.31,1110,0
112,20.9523644,71.19640413,-9.731789,-5.52,1120,-2.1
113,20.9522741,71.1964036,-9.603579,-5.39,1130,1.3
114,20.9521838,71.19640307,-9.898532,-5.68,1140,-2.9
115,20.95209349,71.19640253,-9.603303,-5.38,1150,3
116,20.95200321,71.19640075,-9.665046,-5.44,1160,-0.6
117,20.95191297,71.1963973,-9.16,-4.93,1170,5.1
118,20.95182272,71.19639386,1.2437618,5.47,1180,104
119,20.95173247,71.19639041,-10.101789,-5.88,1190,-113.5
120,20.95164223,71.19638696,-9.674312,-5.45,1200,4.3
121,20.95155198,71.19638352,-7.82,-3.6,1210,18.5
122,20.95146173,71.19638007,-8.117156,-3.9,1220,-3
123,20.95137154,71.19637553,-8.28,-4.06,1230,-1.6
124,20.9512814,71.19636975,-8.11,-3.89,1240,1.7
125,20.95119125,71.19636397,-8.088211,-3.87,1250,0.2
126,20.95110111,71.19635819,-8.232523,-4.01,1260,-1.4
127,20.95101097,71.19635241,-9.375276,-5.15,1270,-11.4
128,20.95092083,71.19634664,-8.07,-3.84,1280,13.1
129,20.95083069,71.19634086,-8.646421,-4.42,1290,-5.8
130,20.9507405,71.19634314,-9.56,-5.33,1300,-9.1
131,20.95065029,71.19634759,-10.179587,-5.95,1310,-6.2
132,20.95056008,71.19635204,-9.42,-5.19,1320,7.6
133,20.95046987,71.19635649,-9.81,-5.58,1330,-3.9
134,20.95037966,71.19636094,-9.963578,-5.73,1340,-1.5
135,20.95028946,71.19636539,-10.164633,-5.93,1350,-2
136,20.95019925,71.19636984,-10.132844,-5.9,1360,0.3
137,20.95010904,71.19637429,-10.746422,-6.51,1370,-6.1
138,20.95001883,71.19637874,-11.07,-6.83,1380,-3.2
139,20.94992894,71.19638568,-11.38,-7.14,1390,-3.1
140,20.94984075,71.19640638,-11.55,-7.31,1400,-1.7
141,20.94975256,71.19642708,-11.38,-7.14,1410,1.7
142,20.94966438,71.19644778,-11.6,-7.36,1420,-2.2
143,20.94957898,71.19647643,-11.39,-7.15,1430,2.1
144,20.94949958,71.19652224,-11.296709,-7.06,1440,0.9
145,20.94942019,71.19656805,-10.962236,-6.73,1450,3.3
146,20.9493408,71.19661386,-10.99,-6.76,1460,-0.3
147,20.94926721,71.19666754,-11.413417,-7.18,1470,-4.2
148,20.94920657,71.19673877,-11.792362,-7.56,1480,-3.8
149,20.94914593,71.19681,-11.212168,-6.98,1490,5.8
150,20.94908096,71.1968763,-11.67,-7.44,1500,-4.6
151,20.94901003,71.19693579,-11.094711,-6.86,1510,5.8
152,20.94893909,71.19699528,-10.746947,-6.51,1520,3.5
153,20.94886816,71.19705477,-10.816923,-6.58,1530,-0.7
154,20.94879722,71.19711426,-10.610355,-6.37,1540,2.1
155,20.94872628,71.19717375,-10.151243,-5.91,1550,4.6
156,20.94865709,71.19723548,-10.611891,-6.37,1560,-4.6
157,20.94858899,71.19729861,-10.750066,-6.51,1570,-1.4
158,20.9485209,71.19736175,-10.803095,-6.56,1580,-0.5
159,20.9484528,71.19742489,-11.359509,-7.12,1590,-5.6
160,20.9483847,71.19748803,-11.43512,-7.2,1600,-0.8
161,20.94831661,71.19755117,-11.622095,-7.39,1610,-1.9
162,20.94824851,71.1976143,-11.751877,-7.52,1620,-1.3
163,20.94818041,71.19767744,-11.76944,-7.54,1630,-0.2
164,20.94811232,71.19774058,-11.673978,-7.44,1640,1
165,20.94804422,71.19780372,-11.612382,-7.38,1650,0.6
166,20.94797613,71.19786686,-11.441268,-7.21,1660,1.7
167,20.94790697,71.19792866,-11.05,-6.82,1670,3.9
168,20.94783728,71.1979898,-12.058953,-7.83,1680,-10.1
169,20.9477676,71.19805094,-11.699309,-7.47,1690,3.6
170,20.94769791,71.19811208,-11.04091,-6.81,1700,6.6
171,20.94762823,71.19817322,-10.317763,-6.09,1710,7.2
172,20.94755854,71.19823436,-11.474407,-7.25,1720,-11.6
173,20.94748017,71.19828039,-11.280292,-7.06,1730,1.9
174,20.94739729,71.19831855,-11.236363,-7.02,1740,0.4
175,20.94731441,71.19835672,-11.340744,-7.12,1750,-1
176,20.94723152,71.19839488,-11.50417,-7.28,1760,-1.6
177,20.94714864,71.19843304,-11.513419,-7.29,1770,-0.1
178,20.94706573,71.19847113,-11.326072,-7.1,1780,1.9
179,20.94697923,71.19849872,-11.623989,-7.4,1790,-3
180,20.94689272,71.19852631,-11.28,-7.06,1800,3.4
181,20.94680621,71.19855389,-11.462581,-7.24,1810,-1.8
182,20.94671971,71.19858148,-11.617541,-7.39,1820,-1.5
183,20.9466332,71.19860907,-11.324885,-7.1,1830,2.9
184,20.9465467,71.19863666,-11.254483,-7.03,1840,0.7
185,20.94645711,71.19864849,-10.835938,-6.61,1850,4.2
186,20.94636745,71.19865995,-11.599729,-7.37,1860,-7.6
187,20.94627779,71.19867141,-12.208647,-7.98,1870,-6.1
188,20.94618813,71.19868287,-11.99066,-7.76,1880,2.2
189,20.94609847,71.19869433,-10.386611,-6.16,1890,16
190,20.94600881,71.19870579,-12.054422,-7.83,1900,-16.7
191,20.94591915,71.19871725,-11.718866,-7.49,1910,3.4
192,20.94582949,71.19872871,-11.793936,-7.57,1920,-0.8
193,20.94573982,71.19874017,-12.137712,-7.91,1930,-3.4
194,20.94565016,71.19874801,-12.286115,-8.06,1940,-1.5
195,20.94556046,71.1987369,-12.20389,-7.98,1950,0.8
196,20.94547076,71.19872579,-12.227789,-8,1960,-0.2
197,20.94538106,71.19871468,-12.230874,-8,1970,0
198,20.94529331,71.19869627,-12.036663,-7.81,1980,1.9
199,20.9452115,71.19865556,-12.753069,-8.53,1990,-7.2
200,20.94512969,71.19861486,-12.200272,-7.98,2000,5.5
201,20.94504788,71.19857416,-12.050111,-7.83,2010,1.5
202,20.94499498,71.19849974,-12.227426,-8.01,2020,-1.8
203,20.94494947,71.19841671,-12.66,-8.44,2030,-4.3
204,20.94490396,71.19833368,-12.924911,-8.7,2040,-2.6
205,20.94485844,71.19825066,-12.822131,-8.6,2050,1
206,20.94481293,71.19816763,-12.715046,-8.49,2060,1.1
207,20.94476742,71.1980846,-12.814868,-8.59,2070,-1
208,20.94472543,71.19799956,-13.143329,-8.92,2080,-3.3
209,20.94468524,71.19791347,-13.274796,-9.05,2090,-1.3
210,20.94464506,71.19782738,-13.943217,-9.72,2100,-6.7
211,20.94461936,71.19773677,-13.35139,-9.13,2110,5.9
212,20.94460947,71.19764122,-12.95165,-8.73,2120,4
213,20.94459957,71.19754567,-13.209652,-8.99,2130,-2.6
214,20.94458529,71.19745097,-13.204954,-8.99,2140,0
215,20.9445631,71.19735779,-13.398335,-9.18,2150,-1.9
216,20.94454091,71.19726461,-13.668322,-9.45,2160,-2.7
217,20.94451871,71.19717142,-13.94452,-9.73,2170,-2.8
218,20.94449652,71.19707824,-14.043328,-9.83,2180,-1
219,20.94447433,71.19698506,-14.307907,-10.09,2190,-2.6
220,20.94445186,71.19689199,-14.563131,-10.35,2200,-2.6
221,20.94441221,71.19680562,-14.3008585,-10.09,2210,2.6
222,20.94437257,71.19671925,-14.30782,-10.1,2220,-0.1
223,20.94433292,71.19663288,-14.38,-10.17,2230,-0.7
224,20.94429328,71.19654651,-14.3,-10.09,2240,0.8
225,20.94425363,71.19646014,-14.41,-10.2,2250,-1.1
226,20.94421323,71.1963742,-14.524438,-10.31,2260,-1.1
227,20.94416934,71.19629019,-13.930092,-9.72,2270,5.9
228,20.94412545,71.19620617,-13.603039,-9.39,2280,3.3
229,20.94408156,71.19612216,-14.414347,-10.2,2290,-8.1
230,20.94403768,71.19603815,-14.45,-10.24,2300,-0.4
231,20.9439783,71.19596704,-14.43,-10.22,2310,0.2
232,20.94391223,71.19590151,-14.3,-10.09,2320,1.3
233,20.94384617,71.19583597,-13.6803665,-9.47,2330,6.2
234,20.9437801,71.19577044,-15.087259,-10.88,2340,-14.1
235,20.94371403,71.1957049,-14.453969,-10.25,2350,6.3
236,20.94364217,71.19570938,-14.263442,-10.06,2360,1.9
237,20.94356635,71.1957616,-13.529153,-9.33,2370,7.3
238,20.94349053,71.19581382,-14.28,-10.08,2380,-7.5
239,20.94341471,71.19586604,-14.11,-9.91,2390,1.7
240,20.94333889,71.19591826,-14.52,-10.32,2400,-4.1
241,20.94326307,71.19597047,-14.687477,-10.49,2410,-1.7
242,20.94318725,71.19602269,-14.227569,-10.03,2420,4.6
243,20.94310854,71.19606945,-14.880608,-10.68,2430,-6.5
244,20.94302734,71.1961115,-15.45,-11.25,2440,-5.7
245,20.94294613,71.19615355,-14.843739,-10.64,2450,6.1
246,20.94286493,71.19619561,-14.799392,-10.6,2460,0.4
247,20.94278191,71.196232,-14.71,-10.51,2470,0.9
248,20.94269346,71.1962514,-14.72,-10.52,2480,-0.1
249,20.94260502,71.19627079,-14.676261,-10.48,2490,0.4
250,20.94251657,71.19629019,-14.863131,-10.67,2500,-1.9
251,20.94242812,71.19630959,-14.748784,-10.56,2510,1.1
252,20.94233968,71.19632898,-14.88,-10.69,2520,-1.3
253,20.94225123,71.19634838,-14.813579,-10.62,2530,0.7
254,20.94216278,71.19636778,-14.57,-10.38,2540,2.4
255,20.94207433,71.19638718,-14.600734,-10.41,2550,-0.3
256,20.94199109,71.19642237,-14.78,-10.59,2560,-1.8
257,20.94191066,71.19646606,-14.9,-10.71,2570,-1.2
258,20.94183022,71.19650975,-15.13,-10.94,2580,-2.3
259,20.94174978,71.19655344,-15.337156,-11.15,2590,-2.1
260,20.94166934,71.19659713,-15.49,-11.3,2600,-1.5
261,20.9415889,71.19664082,-15.485688,-11.3,2610,0
262,20.94150846,71.19668451,-15.439355,-11.25,2620,0.5
263,20.94142803,71.1967282,-15.52,-11.33,2630,-0.8
264,20.94134827,71.19677322,-15.659938,-11.47,2640,-1.4
265,20.94126996,71.1968211,-15.679368,-11.49,2650,-0.2
266,20.94119165,71.19686897,-15.686359,-11.5,2660,-0.1
267,20.94111334,71.19691685,-15.705954,-11.52,2670,-0.2
268,20.94103503,71.19696472,-15.525254,-11.34,2680,1.8
269,20.94095673,71.19701259,-15.833083,-11.65,2690,-3.1
270,20.94087842,71.19706047,-16.35453,-12.17,2700,-5.2
271,20.94080011,71.19710834,-16.54,-12.36,2710,-1.9
272,20.9407218,71.19715621,-16.079266,-11.9,2720,4.6
273,20.94064349,71.19720409,-16.417437,-12.24,2730,-3.4
274,20.94056513,71.19725186,-16.382162,-12.2,2740,0.4
275,20.94048649,71.19729911,-16.95816,-12.78,2750,-5.8
276,20.94040785,71.19734637,-16.86,-12.68,2760,1
277,20.94032921,71.19739362,-16.877834,-12.7,2770,-0.2
278,20.94025057,71.19744087,-17.030733,-12.85,2780,-1.5
279,20.94017193,71.19748812,-16.986015,-12.81,2790,0.4
280,20.94009328,71.19753538,-16.603172,-12.43,2800,3.8
281,20.94001464,71.19758263,-17.052147,-12.88,2810,-4.5
282,20.939936,71.19762988,-16.89482,-12.72,2820,1.6
283,20.93985736,71.19767713,-16.991743,-12.82,2830,-1
284,20.93977872,71.19772439,-16.750734,-12.58,2840,2.4
285,20.93970008,71.19777164,-17.239529,-13.07,2850,-4.9
286,20.93962144,71.19781889,-17.145252,-12.98,2860,0.9
287,20.9395428,71.19786614,-16.451822,-12.29,2870,6.9
288,20.93946416,71.19791339,-16.227798,-12.07,2880,2.2
289,20.93938552,71.19796065,-16.899368,-12.74,2890,-6.7
290,20.93930688,71.1980079,-16.07,-11.91,2900,8.3
291,20.93922815,71.19805498,-16.006647,-11.85,2910,0.6
292,20.93914801,71.19809928,-17.023033,-12.87,2920,-10.2
293,20.93906786,71.19814358,-16.970284,-12.82,2930,0.5
294,20.93898772,71.19818788,-16.848015,-12.7,2940,1.2
295,20.93890758,71.19823218,-16.88,-12.73,2950,-0.3
296,20.93882744,71.19827648,-16.868523,-12.72,2960,0.1
297,20.93874729,71.19832079,-16.885695,-12.74,2970,-0.2
298,20.93866715,71.19836509,-16.86396,-12.72,2980,0.2
299,20.93858701,71.19840939,-16.88129,-12.74,2990,-0.2
300,20.93850687,71.19845369,-16.972734,-12.83,3000,-0.9
301,20.93842672,71.19849799,-16.98,-12.84,3010,-0.1
302,20.93834658,71.19854229,-17.066101,-12.93,3020,-0.9
303,20.93826644,71.19858659,-17.101194,-12.97,3030,-0.4
304,20.9381863,71.19863089,-16.873112,-12.74,3040,2.3
305,20.93810616,71.19867519,-16.884277,-12.75,3050,-0.1
306,20.93802601,71.19871949,-17.117203,-12.98,3060,-2.3
307,20.93794587,71.19876379,-17.324278,-13.19,3070,-2.1
308,20.93786573,71.19880809,-17.536161,-13.4,3080,-2.1
309,20.93778559,71.19885239,-17.486101,-13.35,3090,0.5
310,20.93770544,71.1988967,-17.73,-13.59,3100,-2.4
311,20.9376253,71.198941,-17.605833,-13.47,3110,1.2
312,20.93754516,71.1989853,-17.84595,-13.71,3120,-2.4
313,20.93746502,71.1990296,-17.853899,-13.72,3130,-0.1
314,20.93738487,71.1990739,-17.839369,-13.71,3140,0.1
315,20.93730473,71.1991182,-17.99,-13.86,3150,-1.5
