transect_id,vertex_index,latitude,longitude,elevation,dam
0,0,20.96060493,71.20060941,-4.21,-4.77
0,1,20.96061545,71.20059378,-5.6,-4.77
0,2,20.96062598,71.20057816,-6.16,-4.77
0,3,20.9606365,71.20056253,-6.47,-4.77
0,4,20.96064702,71.20054691,-6.51,-4.77
0,5,20.96065755,71.20053128,-6.54,-4.77
0,6,20.96066807,71.20051566,-6.77,-4.77
0,7,20.96067859,71.20050003,-6.52,-4.77
0,8,20.96068912,71.20048441,-6.57,-4.77
0,9,20.96069964,71.20046878,-6.29,-4.77
0,10,20.96071016,71.20045316,-6.22,-4.77
0,11,20.96059441,71.20062503,-4.34,-4.77
0,12,20.96058388,71.20064066,-3.91,-4.77
0,13,20.96057336,71.20065628,-3.36,-4.77
0,14,20.96056283,71.20067191,-2.93,-4.77
0,15,20.96055231,71.20068753,-2.36,-4.77
0,16,20.96054179,71.20070316,-1.99,-4.77
0,17,20.96053126,71.20071878,-1.46,-4.77
0,18,20.96052074,71.20073441,-0.76,-4.77
0,19,20.96051022,71.20075003,-0.18,-4.77
0,20,20.96049969,71.20076566,-0.03,-4.77
1,0,20.96053154,71.20055339,-5.63,-4.5
1,1,20.96054206,71.20053776,-6.07,-4.5
1,2,20.96055259,71.20052214,-6.5,-4.5
1,3,20.96056311,71.20050651,-6.29,-4.5
1,4,20.96057363,71.20049089,-5.74,-4.5
1,5,20.96058416,71.20047526,-5.06,-4.5
1,6,20.96059468,71.20045964,-5.07,-4.5
1,7,20.9606052,71.20044401,-5.23,-4.5
1,8,20.96061573,71.20042839,-5.32,-4.5
1,9,20.96062625,71.20041276,-5.4,-4.5
1,10,20.96063677,71.20039714,-5.53,-4.5
1,11,20.96052102,71.20056901,-5.37,-4.5
1,12,20.96051049,71.20058464,-4.79,-4.5
1,13,20.96049997,71.20060026,-4.21,-4.5
1,14,20.96048945,71.20061589,-3.59,-4.5
1,15,20.96047892,71.20063151,-3.24,-4.5
1,16,20.9604684,71.20064714,-3.02,-4.5
1,17,20.96045788,71.20066276,-2.57,-4.5
1,18,20.96044735,71.20067839,-2.15,-4.5
1,19,20.96043683,71.20069401,-1.38,-4.5
1,20,20.9604263,71.20070964,-0.94,-4.5
2,0,20.96045815,71.20049737,-5.87,-3.87
2,1,20.96046867,71.20048174,-5.8,-3.87
2,2,20.9604792,71.20046612,-5.58,-3.87
2,3,20.96048972,71.20045049,-4.95,-3.87
2,4,20.96050024,71.20043487,-4.56,-3.87
2,5,20.96051077,71.20041924,-5.02,-3.87
2,6,20.96052129,71.20040362,-4.34,-3.87
2,7,20.96053182,71.20038799,-4.04,-3.87
2,8,20.96054234,71.20037237,-3.57,-3.87
2,9,20.96055286,71.20035674,-3.81,-3.87
2,10,20.96056339,71.20034112,-3.7,-3.87
2,11,20.96044763,71.20051299,-5.66,-3.87
2,12,20.9604371,71.20052862,-5.28,-3.87
2,13,20.96042658,71.20054424,-4.71,-3.87
2,14,20.96041606,71.20055987,-3.92,-3.87
2,15,20.96040553,71.20057549,-3.4,-3.87
2,16,20.96039501,71.20059112,0.31,-3.87
2,17,20.96038449,71.20060674,-0.29,-3.87
2,18,20.96037396,71.20062237,0.61,-3.87
2,19,20.96036344,71.20063799,0.65,-3.87
2,20,20.96035292,71.20065362,-0.79,-3.87
3,0,20.96038476,71.20044135,-5.64,-3.71
3,1,20.96039529,71.20042572,-5.71,-3.71
3,2,20.96040581,71.2004101,-5.62,-3.71
3,3,20.96041633,71.20039447,-5.51,-3.71
3,4,20.96042686,71.20037885,-5.03,-3.71
3,5,20.96043738,71.20036322,-4.73,-3.71
3,6,20.9604479,71.2003476,-4.36,-3.71
3,7,20.96045843,71.20033197,-3.75,-3.71
3,8,20.96046895,71.20031635,-4.18,-3.71
3,9,20.96047947,71.20030072,-4.07,-3.71
3,10,20.96049,71.2002851,-4.02,-3.71
3,11,20.96037424,71.20045697,-5.65,-3.71
3,12,20.96036372,71.2004726,-5.53,-3.71
3,13,20.96035319,71.20048822,-5.21,-3.71
3,14,20.96034267,71.20050385,-3.96,-3.71
3,15,20.96033214,71.20051947,-3.68,-3.71
3,16,20.96032162,71.2005351,-3.56,-3.71
3,17,20.9603111,71.20055072,-3.32,-3.71
3,18,20.96030057,71.20056635,-2.68,-3.71
3,19,20.96029005,71.20058197,-1.97,-3.71
3,20,20.96027953,71.2005976,-1.61,-3.71
4,0,20.96031137,71.20038533,-5.5,-3.91
4,1,20.9603219,71.2003697,-5.71,-3.91
4,2,20.96033242,71.20035408,-5.72,-3.91
4,3,20.96034294,71.20033845,-5.67,-3.91
4,4,20.96035347,71.20032283,-5.28,-3.91
4,5,20.96036399,71.2003072,-4.54,-3.91
4,6,20.96037451,71.20029158,-3.13,-3.91
4,7,20.96038504,71.20027595,-1.85,-3.91
4,8,20.96039556,71.20026033,-2.95,-3.91
4,9,20.96040608,71.2002447,-3.38,-3.91
4,10,20.96041661,71.20022908,-0.95,-3.91
4,11,20.96030085,71.20040095,-5.91,-3.91
4,12,20.96029033,71.20041658,-5.4,-3.91
4,13,20.9602798,71.2004322,-5.16,-3.91
4,14,20.96026928,71.20044783,-4.34,-3.91
4,15,20.96025876,71.20046345,-4.0,-3.91
4,16,20.96024823,71.20047908,-3.83,-3.91
4,17,20.96023771,71.2004947,-3.22,-3.91
4,18,20.96022719,71.20051033,-2.35,-3.91
4,19,20.96021666,71.20052595,-1.16,-3.91
4,20,20.96020614,71.20054158,0.34,-3.91
5,0,20.96023798,71.20032931,-5.49,-3.7699999999999996
5,1,20.96024851,71.20031368,-5.7,-3.7699999999999996
5,2,20.96025903,71.20029806,-5.72,-3.7699999999999996
5,3,20.96026955,71.20028243,-5.54,-3.7699999999999996
5,4,20.96028008,71.20026681,-4.99,-3.7699999999999996
5,5,20.9602906,71.20025118,-4.58,-3.7699999999999996
5,6,20.96030113,71.20023556,-4.48,-3.7699999999999996
5,7,20.96031165,71.20021993,-4.61,-3.7699999999999996
5,8,20.96032217,71.20020431,-1.58,-3.7699999999999996
5,9,20.9603327,71.20018868,-2.3,-3.7699999999999996
5,10,20.96034322,71.20017306,-1.81,-3.7699999999999996
5,11,20.96022746,71.20034493,-5.65,-3.7699999999999996
5,12,20.96021694,71.20036056,-5.77,-3.7699999999999996
5,13,20.96020641,71.20037618,-5.45,-3.7699999999999996
5,14,20.96019589,71.20039181,-5.41,-3.7699999999999996
5,15,20.96018537,71.20040743,-4.91,-3.7699999999999996
5,16,20.96017484,71.20042306,-4.65,-3.7699999999999996
5,17,20.96016432,71.20043868,-4.43,-3.7699999999999996
5,18,20.9601538,71.20045431,-3.59,-3.7699999999999996
5,19,20.96014327,71.20046993,-2.66,-3.7699999999999996
5,20,20.96013275,71.20048556,-1.84,-3.7699999999999996
6,0,20.9601646,71.20027329,-5.71,-3.8200000000000003
6,1,20.96017512,71.20025766,-5.79,-3.8200000000000003
6,2,20.96018564,71.20024204,-5.82,-3.8200000000000003
6,3,20.96019617,71.20022641,-5.51,-3.8200000000000003
6,4,20.96020669,71.20021079,-4.4,-3.8200000000000003
6,5,20.96021721,71.20019516,-4.84,-3.8200000000000003
6,6,20.96022774,71.20017954,-4.5,-3.8200000000000003
6,7,20.96023826,71.20016391,-3.92,-3.8200000000000003
6,8,20.96024878,71.20014829,-3.27,-3.8200000000000003
6,9,20.96025931,71.20013266,-1.06,-3.8200000000000003
6,10,20.96026983,71.20011704,-1.43,-3.8200000000000003
6,11,20.96015407,71.20028891,-5.67,-3.8200000000000003
6,12,20.96014355,71.20030454,-5.49,-3.8200000000000003
6,13,20.96013303,71.20032016,-5.47,-3.8200000000000003
6,14,20.9601225,71.20033579,-4.78,-3.8200000000000003
6,15,20.96011198,71.20035141,-4.52,-3.8200000000000003
6,16,20.96010145,71.20036704,-3.8,-3.8200000000000003
6,17,20.96009093,71.20038266,-4.12,-3.8200000000000003
6,18,20.96008041,71.20039829,-1.36,-3.8200000000000003
6,19,20.96006988,71.20041391,-0.56,-3.8200000000000003
6,20,20.96005936,71.20042954,-0.17,-3.8200000000000003
7,0,20.96009121,71.20021727,-5.92,-3.92
7,1,20.96010173,71.20020164,-5.89,-3.92
7,2,20.96011225,71.20018602,-5.87,-3.92
7,3,20.96012278,71.20017039,-5.86,-3.92
7,4,20.9601333,71.20015477,-5.64,-3.92
7,5,20.96014382,71.20013914,-5.16,-3.92
7,6,20.96015435,71.20012352,-4.19,-3.92
7,7,20.96016487,71.20010789,-3.99,-3.92
7,8,20.96017539,71.20009227,-3.48,-3.92
7,9,20.96018592,71.20007664,-3.41,-3.92
7,10,20.96019644,71.20006102,-3.51,-3.92
7,11,20.96008068,71.20023289,-5.73,-3.92
7,12,20.96007016,71.20024852,-5.79,-3.92
7,13,20.96005964,71.20026414,-5.64,-3.92
7,14,20.96004911,71.20027977,-5.06,-3.92
7,15,20.96003859,71.20029539,-4.8,-3.92
7,16,20.96002807,71.20031102,-4.36,-3.92
7,17,20.96001754,71.20032664,-3.05,-3.92
7,18,20.96000702,71.20034227,-2.16,-3.92
7,19,20.9599965,71.20035789,-1.24,-3.92
7,20,20.95998597,71.20037352,-0.1,-3.92
8,0,20.96001782,71.20016125,-5.75,-3.96
8,1,20.96002834,71.20014562,-5.92,-3.96
8,2,20.96003886,71.20013,-5.96,-3.96
8,3,20.96004939,71.20011437,-5.9,-3.96
8,4,20.96005991,71.20009875,-5.77,-3.96
8,5,20.96007043,71.20008312,-4.95,-3.96
8,6,20.96008096,71.2000675,-4.69,-3.96
8,7,20.96009148,71.20005187,-4.36,-3.96
8,8,20.960102,71.20003625,-4.04,-3.96
8,9,20.96011253,71.20002062,-3.59,-3.96
8,10,20.96012305,71.200005,-2.43,-3.96
8,11,20.96000729,71.20017687,-5.87,-3.96
8,12,20.95999677,71.2001925,-5.92,-3.96
8,13,20.95998625,71.20020812,-5.7,-3.96
8,14,20.95997572,71.20022375,-5.31,-3.96
8,15,20.9599652,71.20023937,-4.91,-3.96
8,16,20.95995468,71.200255,-3.61,-3.96
8,17,20.95994415,71.20027062,-2.5,-3.96
8,18,20.95993363,71.20028625,-1.31,-3.96
8,19,20.95992311,71.20030187,-1.02,-3.96
8,20,20.95991258,71.2003175,-0.32,-3.96
9,0,20.95994443,71.20010523,-6.05,-4.05
9,1,20.95995495,71.2000896,-5.96,-4.05
9,2,20.95996548,71.20007398,-6.03,-4.05
9,3,20.959976,71.20005835,-5.96,-4.05
9,4,20.95998652,71.20004273,-6.05,-4.05
9,5,20.95999705,71.2000271,-5.73,-4.05
9,6,20.96000757,71.20001148,-4.82,-4.05
9,7,20.96001809,71.19999585,-4.22,-4.05
9,8,20.96002862,71.19998023,-3.73,-4.05
